Village Trail|Green Circle
Village Trail Extension|Green Circle
Boomerang Trail|Green Circle
Goosebumps Slope|Double Black Diamond
Avalanche Slope|Black Diamond
Tyrol Slope|Blue Square
Stowe Slope|Blue Square
Stowe Trail|Blue Square
Cortina Slope|Blue Square
Wagner Slope|Blue Square
Stowe's Beginner's Bowl|Green Circle
Easy Rider Beginner Area|Green Circle
Fawn Lane Trail|Green Circle
Alpine Pass Trail|Green Circle
Phillip's Run Trail|Green Circle
Blitzen Slope|Blue Square
Deer Pass Trail|Green Circle
Alpine Meadows Slope|Blue Square
Sunbowl Trail|Blue Square
Lost Boy Trail|Green Circle
Sunset Slope|Blue Square
North Face Bypass Trail|Blue Square
Little North Face Slope|Blue Square
North Face Slope|Black Diamond
Giant Steps Slope|Black Diamond
Gunnar Slope|Black Diamond
Yodeler Trail|Black Diamond
Lost Girl Trail|Green Circle
Yodeler Bypass|Green Circle
Northwest Passage Trail|Blue Square
Giant Boulder Slope|Blue Square
Little Boulder Trail|Blue Square
Gunnar Chair Line Slope|Black Diamond
Corkscrew Trail|Blue Square
Alpine Meadows Glades|Double Black Diamond
North Face Glades|Double Black Diamond
Turtleneck Glades|Double Black Diamond
Turtle Claw Glades|Double Black Diamond
Great Western Trail|Green Circle
